"current_path","classification","original_path","destination_applied","in_repo_now","active_consumer","referenced_by","requires_local_data","manuscript_relevant","safe_to_move","notes"
"Formatting/00a_raw_tracking_qc_rfid_loss.R","data_dependent_audit","Formatting/00a_raw_tracking_qc_rfid_loss.R","KEEP (not moved)",TRUE,"None. No script in the repo source()s it - it is run manually. Analysis/14_systems_neuroscience_summary_dashboard.R:1967 names its OUTPUT filename, not the script, and only as the second element of a fallback vector whose primary is Analysis/00_qc_tracking_integrity.R's output.","Analysis/14_systems_neuroscience_summary_dashboard.R:1967 (output-artifact path only, marked expected_status='qc_available_if_upstream_run'); Formatting/00a_raw_tracking_qc_rfid_loss.R:7,30,69 (its own workflow comments referencing E9_SIS_AnimalPos-preprocessing.R). Not referenced by README.md or any doc.","yes","indirect","yes","ANSWERED CAREFULLY - it is NOT referenced by anything active via source(). The only linkage is a data-path string at Analysis/14:1967, and that string does not even resolve to where this script writes: Stage 14 looks under file.path(dirname(project_root),'raw_tracking_qc_rfid_loss',...) where project_root = 'S:/.../Analysis/Behavior/RFID' (so it searches S:/.../Analysis/Behavior/), whereas 00a writes to file.path(WORKING_DIR,'raw_tracking_qc_rfid_loss') = S:/.../RFID/MMMSociability/raw_tracking_qc_rfid_loss (line 64). That fallback is therefore already stale and never resolves; Stage 14's primary path, analysis_ready/00_tracking_qc_rfid_loss/tables/tracking_qc_by_animal.csv, comes from Analysis/00_qc_tracking_integrity.R:494. NOT an E9 historical variant: dated 2026-05-18 (commit 20d463c 'Robustify RFID parsing, mapping, and QC metrics'), and it is complementary rather than superseded - it is the only RAW-level chip-loss QC (reads raw_data/B*/E9_SIS_B*_CC*_AnimalPos.csv before preprocessing), while Analysis/00 does the same diagnosis on derived metrics AFTER Stage 01. Recommend KEEP alongside the active preprocessing entrypoint whose workflow it documents. Archiving is mechanically safe if the parent prefers, but it would misfile a current, runnable QC tool as historical. || MOVE_BREAKS: Nothing mechanically. It sources nothing from the repo (no _pipeline_setup.R, no Functions/ helpers) and resolves its working directory via DEFAULT_WORKING_DIR = 'S:/.../RFID/MMMSociability' with a detect_working_dir() fallback keyed on the presence of a raw_data/ subdirectory - all absolute or data-side, entirely independent of its own location in the repo."
"Formatting/01_preprocess_cookiehab_animalpos.R","preprocessing_active","Formatting/01_preprocess_cookiehab_animalpos.R","KEEP (not moved)",TRUE,"Analysis/run_cookiehab_preprocessing_and_metrics.R:24 - source(file.path(MMM_REPO_ROOT, ""Formatting"", ""01_preprocess_cookiehab_animalpos.R""), local = new.env(parent = .GlobalEnv))","Analysis/run_cookiehab_preprocessing_and_metrics.R:24 (sole reference in the entire repo)","yes","indirect","no","Active cookiehab (EPMaftercagechange) preprocessing stage. Sources Functions/cookiehab_preprocessing_helpers.R at line 24. All I/O paths are getOption()-overridable (mmm.cookiehab_raw_dir, mmm.cookiehab_preprocessed_dir, mmm.cookiehab_qc_dir, mmm.sus_animals_file, mmm.con_animals_file) with S:/ defaults, and the runner sets those options before sourcing - a good pattern, but it means the script hard-fails at line 49 (stop('Cookiehab raw root does not exist')) without the S: drive. It is the only numbered, modern-style script in Formatting/; it stays where it is because the runner names its directory literally. || MOVE_BREAKS: Analysis/run_cookiehab_preprocessing_and_metrics.R:24 hardcodes the directory 'Formatting' and the exact filename; moving the file requires editing that line. Secondly the script's own bootstrap (lines 15-23) probes only file.path(getwd(),'Analysis','_pipeline_setup.R'), file.path(dirname(getwd()),'Analysis','_pipeline_setup.R') and dirname(ofile)/../Analysis/_pipeline_setup.R - the third candidate is relative to the script's own location, so moving it one level deeper (e.g. Formatting/cookiehab/) breaks that candidate; the getwd()-based candidates still work because the runner does setwd(MMM_REPO_ROOT) at line 12 before sourcing, so a move is survivable but only by accident."
"Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r","preprocessing_active","Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r","KEEP (not moved)",TRUE,"None sources it - it is a top-level entrypoint, run manually (Rscript) to regenerate the primary dataset. Its OUTPUT, S:/.../RFID/MMMSociability/preprocessed_data/*_preprocessed.csv, is the input of Analysis/01_build_multiscale_behavior_metrics.R:68,260-261, Analysis/02_build_dyadic_rfid_contacts.R, Analysis/14, Analysis/19 and Testing/validate_cross_scale_animal_identity.R.","Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing.R:21 (comment); Testing/E9_SIS_AnimalPos-analyzing v.2.0.0.R:22 (comment); Formatting/00a_raw_tracking_qc_rfid_loss.R:7,30,69 (workflow comments, naming the non-parallel sibling)","yes","yes","no","DO NOT ARCHIVE despite the legacy 'E9_SIS_' name and the lowercase .r extension. This is the ACTIVE preprocessing entrypoint: last touched 2026-08-27 (commit 81694c7), and its 30-line architecture note documents the refactor that replaced preprocess_file() with preprocess_animalpos_file(), removing 80,190 fabricated rows (11.9% of all rows) from the analysis record, verified against RFID_snapshot_pre_stage01_refactor_20260827 with 0 genuine reads lost and 0 rows invented. It sources BOTH Functions/E9_SIS_AnimalPos-functions.R and Functions/animalpos_preprocessing_helpers.R (lines 52-57), re-sources them inside each foreach worker (line 89), and enforces stopifnot(sum(audit$n_synthetic_rows) == 0L) at the end. The name is misleading relative to its status - consider a rename in a later, non-frozen release, but not now. || MOVE_BREAKS: Nothing mechanically - it resolves the repo via Sys.getenv('MMM_REPO_DIR', unset='C:/Users/topohl/Documents/GitHub/MMMSociability') and setwd(data_dir), both absolute, so it is depth-independent. The reason not to move it is semantic: this is the producer of every preprocessed_data/*_preprocessed.csv the pipeline consumes. Archiving it would falsely signal the primary dataset is generated by dead code, and it is the sole active consumer of Functions/E9_SIS_AnimalPos-functions.R."
"Functions/animal_identity_invariants_helpers.R","production","Functions/animal_identity_invariants_helpers.R","KEEP (not moved)",TRUE,"Testing/validate_cross_scale_animal_identity.R:35 (data-dependent QA driver) and Testing/test_animal_identity_invariants_engine.R:11 (portable unit test). NO Analysis/ stage sources it.","Testing/test_animal_identity_invariants_engine.R:2,11; Testing/validate_cross_scale_animal_identity.R:23,35","no","indirect","no","GROUP=identity; pure validation engine for the post-Stage-01 cross-scale identity invariants. Deliberately side-effect free and I/O free at source() time so it can be exercised against synthetic in-memory/tempdir fixtures; Testing/validate_cross_scale_animal_identity.R supplies the real reading. Not sourced by any production stage - it underwrites the identity-consistency claim rather than producing manuscript numbers, hence manuscript_relevant=indirect. Keep in Functions/: it is the engine half of an intentional engine/driver split, and moving it to Testing/ would collapse that separation. || MOVE_BREAKS: Both consumers use the literal CWD-relative string source(""Functions/animal_identity_invariants_helpers.R"") - not source_mmm_helper() - so moving it into any subdirectory breaks both immediately even when run from the repo root."
"Functions/animalpos_preprocessing_helpers.R","production","Functions/animalpos_preprocessing_helpers.R","KEEP (not moved)",TRUE,"Analysis/01_build_multiscale_behavior_metrics.R:62; Analysis/02_build_dyadic_rfid_contacts.R:51; Analysis/09_early_prediction_model_ladder.R:46; Analysis/14_systems_neuroscience_summary_dashboard.R:63; Analysis/19_spatial_occupancy_maps.R:40; Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r:54 (active preprocessing entrypoint); Functions/first_night_window_helpers.R:45","Analysis/01:62; Analysis/02:51; Analysis/09:46; Analysis/14:63; Analysis/19:40-42; Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r:54; Functions/first_night_window_helpers.R:45,47; Testing/test_animalpos_preprocessing_helpers.R:5,149,150; Testing/test_downstream_boundary_and_gap_contract.R:32; Testing/test_first_night_domain_contract.R:10; Testing/test_first_night_window_parity.R:17; Testing/test_stage09_primary_window.R:21; Testing/test_stage19_identity_and_stage06_schema.R:26; Testing/audit_first_night_* (9 files)","no","yes","no","GROUP=preprocessing; defines the CURRENT preprocessing contract: parse_animalpos_datetime, animalpos_position_id, animalpos_phase_counters, animalpos_half_hours_elapsed, animalpos_split_intervals and preprocess_animalpos_file() (the synthetic-row-free replacement for the legacy preprocess_file()). CRITICAL COUPLING: line 205 declares the default argument `remove_phases_fn = remove_phases`, and remove_phases() is defined ONLY in Functions/E9_SIS_AnimalPos-functions.R:194. R lazy evaluation means Analysis stages that source this helper but never call preprocess_animalpos_file() are unaffected; only Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r actually triggers it, and that script sources both files. No top-level data reads. || MOVE_BREAKS: source_mmm_helper() hardcodes file.path(MMM_REPO_ROOT, 'Functions', <flat filename>) with no subdirectory support (Analysis/_pipeline_setup.R:40-41); Analysis/19_spatial_occupancy_maps.R:40 and four Testing scripts build file.path(repo,'Functions','animalpos_preprocessing_helpers.R') literally; Testing/test_animalpos_preprocessing_helpers.R:149-150 readLines() the literal relative path 'Functions/animalpos_preprocessing_helpers.R' to source-scan it."
"Functions/behavioral_dynamics_helpers.R","production","Functions/behavioral_dynamics_helpers.R","KEEP (not moved)",TRUE,"Analysis/_pipeline_setup.R:52 sources it unconditionally at setup time, so EVERY Analysis/ stage 00-19, every runner (Analysis/run_all_analysis.R, Analysis/run_cookiehab_preprocessing_and_metrics.R), Formatting/01_preprocess_cookiehab_animalpos.R, manuscript/Fig1_behavior_candidates/build_fig1_candidates.R and every Testing script that sources _pipeline_setup.R loads it. Analysis/19_spatial_occupancy_maps.R:51 also resolves it explicitly.","Analysis/_pipeline_setup.R:24,52; Analysis/19_spatial_occupancy_maps.R:51-53; Analysis/01_build_multiscale_behavior_metrics.R:21 (comment); Functions/behavioral_dynamics_stats_helpers.R:177; Functions/hmm_stage14_helpers.R:6; Testing/check_behavioral_dynamics_structure.R:27; Testing/test_canonical_animal_id.R:2; Testing/test_first_night_window_parity.R:19; Testing/test_stage19_identity_and_stage06_schema.R:25; Testing/test_write_registry_rerun_behavior.R:4,64; manuscript/BehavioralDynamics_schema/R/schema_toolkit.R:18; manuscript/BehavioralDynamics_schema/README.md:22; README.md:65; several Analysis/_archive scripts","no","yes","no","GROUP=output/provenance; foundation module, the single most load-bearing file in the repo. Mixed content: output/provenance layer (write_table, write_output_manifest, harmonize_analysis_outputs, canonicalize_behavior_output_path, mmm_output_dir_slug, mmm_assert_output_path_budget), identity (canonical_animal_id at line 38), time-series primitives (calc_rmssd, calc_acf1, calc_dfa_alpha, calc_transition_metrics, calc_circadian_metrics) and plot themes/palette (line 66). No top-level file I/O at source() time; pure definitions plus library() calls. This file must not move, not be renamed, and its line 66 palette must not shift if the schema README pin is to stay accurate. || MOVE_BREAKS: HARD BLOCK: Analysis/_pipeline_setup.R:24 find_mmm_repo_root() uses file.exists(file.path(current, 'Functions', 'behavioral_dynamics_helpers.R')) && dir.exists(file.path(current,'Analysis')) as the repo-root SENTINEL. Moving this one file makes repo-root detection fail for the entire pipeline (every stage, runner, audit and test). Additionally source_mmm_helper() resolves file.path(MMM_REPO_ROOT,'Functions',<flat name>) with no subdirectory support, and manuscript/BehavioralDynamics_schema/README.md pins the house palette to line 66."
"Functions/behavioral_dynamics_stats_helpers.R","production","Functions/behavioral_dynamics_stats_helpers.R","KEEP (not moved)",TRUE,"Analysis/04_temporal_instability.R:42; Analysis/05_behavioral_state_space.R:36; Analysis/06_dynamic_social_networks.R:38; Analysis/09_early_prediction_model_ladder.R:44; Analysis/14_systems_neuroscience_summary_dashboard.R:59","Analysis/04:42; Analysis/05:36; Analysis/06:38; Analysis/09:44; Analysis/14:59; Analysis/_archive/08_early_prediction_models.R:36; Analysis/_supporting/13_nonlinear_systems_dynamics.R:62; Analysis/_supporting/14_nextgen_behavioral_phenotyping.R:68","no","yes","no","GROUP=statistics; CON/RES/SUS group summaries and pairwise contrasts (cohens_d_pooled, safe_welch_test, normalise_group_levels, make_dynamics_group_summary, make_dynamics_group_contrasts, write_dynamics_statistics). Line 177 raises a runtime stop() if write_table() from behavioral_dynamics_helpers.R has not been sourced first, so the load order _pipeline_setup.R -> this file must be preserved. Has no test_*.R of its own - a test-coverage gap worth noting, but not a restructuring blocker. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution used by all five active stages."
"Functions/cookiehab_preprocessing_helpers.R","production","Functions/cookiehab_preprocessing_helpers.R","KEEP (not moved)",TRUE,"Formatting/01_preprocess_cookiehab_animalpos.R:24, which is itself sourced by Analysis/run_cookiehab_preprocessing_and_metrics.R:24","Formatting/01_preprocess_cookiehab_animalpos.R:24 (sole reference in the entire repo)","no","indirect","no","GROUP=preprocessing; narrowest-scope helper in Functions/ - only cookiehab_read_animalpos_csv and companions for the cookie-habituation (EPMaftercagechange) AnimalPos files, a side dataset run through the same Stage 01/02 metric machinery by Analysis/run_cookiehab_preprocessing_and_metrics.R. Single consumer, so it is the one Functions/ file whose reference graph is trivial to update - but there is no benefit to moving it, and it has no test_*.R coverage. requires_local_data=no at source() time; its functions need S:/.../Raw Data/Behavior/RFID/MMMdata at call time. || MOVE_BREAKS: source_mmm_helper('cookiehab_preprocessing_helpers.R') at Formatting/01:24 resolves file.path(MMM_REPO_ROOT,'Functions', <flat name>); a subdirectory would not be found and source_mmm_helper() would stop() since required=TRUE by default."
"Functions/duration_normalization_helpers.R","production","Functions/duration_normalization_helpers.R","KEEP (not moved)",TRUE,"Analysis stages 01, 02, 04, 05, 06, 07, 08, 09, 11, 12, 13, 14 (12 active stages source it via source_mmm_helper)","Analysis/01:61; Analysis/02:50; Analysis/04:43; Analysis/05:37; Analysis/06:39; Analysis/07:37; Analysis/08:39; Analysis/09:45; Analysis/11:32; Analysis/12:31; Analysis/13:33; Analysis/14:60; Testing/audit_first_night_production_parity.R:7; Testing/audit_hmm_state_architecture_identifiability.R:8; Testing/test_phase_classification.R:7,97; Analysis/_archive/04_gamm_movement_proximity_phase_and_early_window.R:94-95","no","yes","no","GROUP=temporal/window; the most widely sourced domain helper (12 active stages). Provides epoch-duration QC, short-epoch/short-cage-change detection without hard-coded CC labels, and rate-normalized versions of count/cumulative metrics. Declares a hard dependency at line 26: source_mmm_helper('phase_classification_helpers.R'), with an explicit stop() at line 29 if unavailable. Pure definitions; no data reads at source() time. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution; Testing/test_phase_classification.R:97 checks the literal relative path 'Functions/duration_normalization_helpers.R'."
"Functions/E9_SIS_AnimalPos-functions.R","preprocessing_active","Functions/E9_SIS_AnimalPos-functions.R","KEEP (not moved)",TRUE,"EXACTLY ONE active consumer: Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r, at lines 52-57 (function_files <- file.path(repo_dir,'Functions', c('E9_SIS_AnimalPos-functions.R','animalpos_preprocessing_helpers.R')); stopifnot(all(file.exists(function_files))); invisible(lapply(function_files, source))) and again inside every parallel worker at line 89. That script is the ACTIVE main-dataset preprocessing entrypoint (last modified 2026-08-27, commit 81694c7 'Separate measurement events from aggregation boundaries') and produces preprocessed_data/*_preprocessed.csv, which is the input of Analysis/01_build_multiscale_behavior_metrics.R:68. NO Analysis/ stage 00-19, NO runner, NOT Formatting/01_preprocess_cookiehab_animalpos.R, NO manuscript builder and NO Testing/test_*.R sources it.","ACTIVE (1): Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r:53. IMPLICIT-ACTIVE (1): Functions/animalpos_preprocessing_helpers.R:205 default arg remove_phases_fn = remove_phases, where remove_phases() is defined ONLY here (line 194). LEGACY-BUT-REAL source() (1): Formatting/E9_SIS_AnimalPos-preprocessing.R:22 (broken path - points at repo-root .../MMMSociability/E9_SIS_AnimalPos-functions.R, file does not exist there). COMMENTED-OUT (4): Formatting/E9_SIS_AnimalPos-preprocessing.R:46; Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.0.r:136; Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing.R:54; Testing/E9_SIS_AnimalPos-analyzing v.2.0.0.R:81. ARCHIVED source() (6): Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-analyzing-shannon v.1.0.0.r:137, ...-shannon v.1.0.1.r:464, ...-shannon.R:52, E9_SIS_AnimalPos-analyzing.R:53, E9_SIS_AnimalPos-comparing.R:25, E9_SIS_AnimalPos-comparing2.R:31. ARCHIVED candidate-vector (4 lines): Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-plots_and_statistics.R:66-69. LEGACY Testing (non-test_*) (6): Testing/E9_SIS_AnimalPos-analyzing 2.0.0.R:14; Testing/E9_SIS_AnimalPos-analyzing v.2.0.0.R:70-74,78; Testing/E9_SIS_AnimalPos-analyzing-shannon v.1.0.2.r:490. DOC-ONLY (2): Analysis/_archive/03b_multiscale_metric_validation_notes.md:7; Analysis/_archive/legacy_deprecated/E9_SIS_AnimalPos-comparing2.R:13 (comment). SELF (1): Functions/E9_SIS_AnimalPos-functions.R:1 (@file tag). Near-duplicate fork, not a reference: Testing/E9_SIS_AnimalPos-functions v.2.0.0.R.","no","yes","yes_with_reference_updates","GROUP=preprocessing; DEFINITIVE ANSWER: NO active production script in the enumerated set (Analysis/ stage 00-19, runners, Formatting/01_preprocess_cookiehab_animalpos.R, Functions/ helpers via source(), manuscript builders, Testing/test_*.R) sources this file. BUT it is NOT dead code: it is a live runtime dependency of Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r, the current active preprocessing entrypoint that generates the entire analysed dataset. Only 2 of its 30 defined functions are still load-bearing - remove_phases() (line 194) and count_half_hours_elapsed() (line 231), which Functions/animalpos_preprocessing_helpers.R:198-202 documents as 'reused unchanged so epoch inclusion semantics are preserved'. The other ~28 (preprocess_file, compute_phase_transitions, compute_day_transitions, add_half_hour_transitions, find_id, update_proximity/position/movement, generateHeatMap*, testAndPlotVariable, performPosthocAnova, ...) are superseded dead weight, several of them the exact synthetic-row-inserting functions the 2026-08-27 refactor removed from the pipeline. RECOMMENDATION: KEEP at Functions/E9_SIS_AnimalPos-functions.R. Do NOT archive it - archiving silently breaks preprocessing reproducibility with a lazy-evaluation failure that no test in the repo would catch. If cleanup is desired post-release, the correct move is to lift remove_phases() and count_half_hours_elapsed() verbatim into animalpos_preprocessing_helpers.R and only then archive - but that is a code change, out of scope for a no-science-changes restructure. || MOVE_BREAKS: Formatting/E9_SIS_AnimalPos-preprocessing_parallell.r:52-55 builds file.path(repo_dir,'Functions','E9_SIS_AnimalPos-functions.R') and guards it with stopifnot(all(file.exists(function_files))) - moving the file makes the ACTIVE preprocessing entrypoint abort at startup with a stopifnot failure, before any worker starts. A second, subtler break: Functions/animalpos_preprocessing_helpers.R:205 defaults remove_phases_fn = remove_phases and remove_phases() exists nowhere else in the active tree, so if the source() were dropped, preprocess_animalpos_file() would fail at line 241 with 'could not find function remove_phases' - and because the default is lazily evaluated it would fail only at call time, i.e. only during a real preprocessing run, never during any Analysis stage or test. Both references would have to be updated together."
"Functions/first_night_domain_driver.R","production","Functions/first_night_domain_driver.R","KEEP (not moved)",TRUE,"Analysis/14_systems_neuroscience_summary_dashboard.R:66","Analysis/14:66,5602; Testing/audit_first_night_production_parity.R:13; Testing/test_first_night_domain_contract.R:14","no","yes","no","GROUP=first-night; single Stage-14 entry point for BOTH first-night resolutions; pure orchestration - formula, window, scaling, completeness and inference contracts all live in first_night_domain_helpers.R. NOTE: unlike the other Functions/ files this one DOES do file I/O inside its functions (line 37 file.exists / line 40 read_csv of the stage input, plus writing resolution-scoped artifacts), but nothing is read at source() time, so sourcing remains data-independent. Naming caveat: it is a 'driver' living in Functions/, which reads oddly, but it is sourced as a library by Stage 14, not invoked as a script - do not relocate it to Analysis/. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution from Analysis/14:66 and two Testing scripts."
"Functions/first_night_domain_helpers.R","production","Functions/first_night_domain_helpers.R","KEEP (not moved)",TRUE,"Analysis/14_systems_neuroscience_summary_dashboard.R:65; Functions/first_night_domain_driver.R:15","Analysis/14:65,5601; Functions/first_night_domain_driver.R:7,15; Testing/audit_first_night_production_parity.R:12; Testing/test_first_night_domain_contract.R:13","no","yes","no","GROUP=first-night; the ONE canonical implementation of the audited first-night panel; it replaced three separate row-count window constructions and a generic equal-weight inventory scorer that previously lived inline in Stage 14 (see Analysis/14:5601-5602). Header pins the contract to audit branch commits ec1edda / 2075739 / edc49e0. Line 46 loops over hard deps c('phase_classification_helpers.R','first_night_window_helpers.R'). Contract-locked by Testing/test_first_night_domain_contract.R. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution from Analysis/14:65 and from Functions/first_night_domain_driver.R:15 (bare filename)."
"Functions/first_night_window_helpers.R","production","Functions/first_night_window_helpers.R","KEEP (not moved)",TRUE,"Analysis/14_systems_neuroscience_summary_dashboard.R:64; Functions/first_night_domain_helpers.R:46","Analysis/14:64,5693; Functions/first_night_domain_helpers.R:46; Functions/first_night_domain_driver.R:82 (embeds the literal provenance string 'Functions/first_night_window_helpers.R :: mmm_select_first_night_window'); Testing/audit_first_night_production_parity.R:11; Testing/test_first_night_domain_contract.R:11; Testing/test_first_night_window_parity.R:18","no","yes","no","GROUP=first-night; the ONE source of truth for the prespecified first-night exposure window (first cage change, first Active phase block, 18:30 inclusive -> 06:30 exclusive, exactly 12 h). Declares hard deps at lines 38 and 45 (phase_classification_helpers.R, animalpos_preprocessing_helpers.R) with explicit stop() guards at 40 and 47. Parity-locked by Testing/test_first_night_window_parity.R. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution. Also Functions/first_night_domain_driver.R:82 writes the literal path string 'Functions/first_night_window_helpers.R :: mmm_select_first_night_window' into the emitted provenance artifact, and Analysis/14:5693 emits it in a message that Testing/test_first_night_window_parity.R asserts on - moving the file makes shipped provenance strings point at a nonexistent path."
"Functions/hmm_stage14_helpers.R","production","Functions/hmm_stage14_helpers.R","KEEP (not moved)",TRUE,"Analysis/08_hmm_behavioral_states_optional.R:40; Analysis/14_systems_neuroscience_summary_dashboard.R:61","Analysis/08:40; Analysis/14:61; Testing/test_hmm_stage14_contract.R:10; Testing/test_first_night_domain_contract.R:12; Testing/test_first_night_window_parity.R:20; and ~28 Testing/audit_hmm_* and audit_first_night_* scripts that call it UNCHANGED as the reference engine (e.g. audit_hmm_state_architecture_components.R:85, audit_hmm_state_architecture_longitudinal.R:78,550, audit_hmm_state_architecture_construct_comparison.R:59,1156)","no","yes","no","GROUP=HMM; the HMM/Stage-14 identity, semantic-state and inference engine (build_hmm_epoch_scores, strict_standardize_within_context, hmm_hedges_g, fit_repeated_measures_domain_contrasts). Header at line 6 states it deliberately reuses canonical_animal_id() from behavioral_dynamics_helpers.R rather than defining a second identity contract - so it must be sourced after _pipeline_setup.R. It is the single most heavily audited helper in the repo (~30 Testing consumers treat it as the immutable reference implementation). Keep path AND line numbers stable. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution from Analysis/08, Analysis/14 and ~30 Testing scripts. Additionally several audit reports embed LINE-NUMBER provenance strings pointing into this file ('Functions/hmm_stage14_helpers.R:280-317 build_hmm_epoch_scores()' in audit_first_night_candidate_set_scores.R:420 and audit_first_night_domain_scores_v2.R:228,771; 'hmm_stage14_helpers.R:268' in audit_hmm_state_architecture_construct_comparison.R:1156). Moving is survivable for those strings but any line-number shift silently falsifies published provenance."
"Functions/identity_correction_comparison_helpers.R","production","Functions/identity_correction_comparison_helpers.R","KEEP (not moved)",TRUE,"Testing/compare_identity_correction_before_after.R:46 (data-dependent driver) and Testing/test_identity_comparison_engine.R:10 (portable unit test). NO Analysis/ stage sources it.","Testing/compare_identity_correction_before_after.R:12,46; Testing/test_identity_comparison_engine.R:2,10","no","indirect","no","GROUP=identity; pure before/after comparison engine plus the Stage 03 / Stage 09 table registry consumed by Testing/compare_identity_correction_before_after.R. Explicitly documented as having no file I/O or side effects at source() time so it can be unit-tested against synthetic tempdir fixtures. Same engine/driver split as animal_identity_invariants_helpers.R - it is methods-provenance for the identity-correction step, not a producer of manuscript figures. || MOVE_BREAKS: Both consumers use the literal CWD-relative string source(""Functions/identity_correction_comparison_helpers.R""), so moving it one directory deeper breaks both even from the repo root."
"Functions/phase_classification_helpers.R","production","Functions/phase_classification_helpers.R","KEEP (not moved)",TRUE,"Analysis/14_systems_neuroscience_summary_dashboard.R:62 directly; and transitively by every stage that sources duration_normalization_helpers.R (12 stages) via Functions/duration_normalization_helpers.R:26, plus Functions/first_night_window_helpers.R:38 and Functions/first_night_domain_helpers.R:46","Analysis/14:62; Functions/duration_normalization_helpers.R:26,29,106; Functions/first_night_window_helpers.R:38,40; Functions/first_night_domain_helpers.R:46; Analysis/11:88, Analysis/12:63, Analysis/13:65 (comments citing the shared classifier); Testing/audit_first_night_production_parity.R:9; Testing/audit_hmm_cross_optimum_gapaware.R:25; Testing/audit_inactive_phase_qc_redesign.R:29; Testing/audit_phase_bug_impact.R:9; Testing/audit_step6_longitudinal_gapaware_robustness.R:8; Testing/test_first_night_domain_contract.R:9; Testing/test_first_night_window_parity.R:16; Testing/test_phase_classification.R:6; manuscript/Fig1_behavior_candidates/build_fig1_candidates.R:272 (comment)","no","yes","no","GROUP=temporal/window; smallest file in Functions/ (3.5 KB) but the highest-leverage scientific invariant: the single exact circadian Active/Inactive classifier that replaced the historical branch-order-dependent pattern (the bug documented in Analysis/11:88, Analysis/12:63, Analysis/13:65). It is a transitive dependency of nearly the whole pipeline. Covered by Testing/test_phase_classification.R. Any change here would alter phase assignment repo-wide - treat as frozen. || MOVE_BREAKS: source_mmm_helper() flat 'Functions/' resolution from Analysis/14 and from three sibling Functions/ helpers that source it by bare filename."
"manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/chain_validation_social_spatial_organization.csv","data_dependent_audit","manuscript/BehavioralDynamics_schema/data/chain_validation_social_spatial_organization.csv","manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/chain_validation_social_spatial_organization.csv",TRUE,"Written by R/00_verify_provenance.R:110. Read by nothing.","manuscript/BehavioralDynamics_schema/README.md (lines 42-45)","no","yes","yes","Tracked frozen evidence for the exported-vs-recomputed DomainScore chain check. Preserve byte-identical."
"manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/Fig_sis_active_inactive_domain_heatmap.png","data_dependent_audit","manuscript/BehavioralDynamics_schema/data/Fig_sis_active_inactive_domain_heatmap.png","manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/Fig_sis_active_inactive_domain_heatmap.png",TRUE,"none - not written or read by any script in the folder","manuscript/BehavioralDynamics_schema/README.md (line 4, names the panel the schema explains)","no","yes","yes","Tracked static copy of the Stage 14 publication panel the schema documents. Manually placed (no script writes it). Pure asset, no path coupling."
"manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/figure_number_manifest.csv","data_dependent_audit","manuscript/BehavioralDynamics_schema/data/figure_number_manifest.csv","manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/figure_number_manifest.csv",TRUE,"Written by R/30_write_number_manifest.R:119. Read by nothing - the figure scripts hardcode their numbers.","manuscript/BehavioralDynamics_schema/README.md (lines 38, 42-45)","no","yes","yes","Tracked. The audit trail mapping every printed number in both schema figures to its source file and derivation. Contains 8 occurrences of the string BehavioralDynamics_schema (figure-name column values, not paths) - those are content, not references, and must not be rewritten on a move."
"manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/rest_domain_collapse_evidence.csv","data_dependent_audit","manuscript/BehavioralDynamics_schema/data/rest_domain_collapse_evidence.csv","manuscript/archive/BehavioralDynamics_schema_preproduction_audit/data/rest_domain_collapse_evidence.csv",TRUE,"Written by R/01_verify_rest_domain_collapse.R:105. Read by nothing.","manuscript/BehavioralDynamics_schema/README.md (lines 42-45)","no","yes","yes","Tracked frozen evidence for W2 (rest domain collapses to (Movement_acf1_z - Movement_rmssd_z)/3). Preserve byte-identical."
